../build/src/gnucap -a ../gnucap-icarus/gnucap-icarus.so -c verilog netlist-dkc.sp </dev/null  -- gnucap-icarus as plugin
Gnucap 2009.02.02 RCS 26.109
The Gnu Circuit Analysis Package
Never trust any version less than 1.0
Copyright 1982-2007, Albert Davis
Gnucap comes with ABSOLUTELY NO WARRANTY
This is free software, and you are welcome
to redistribute it under the terms of 
the GNU General Public License, version 3 or later.
See the file "COPYING" for details.
transient: already installed, replacing
stashing as transient:0
#Time       v(gnd!)    v(n1)      v(n2)      v(n3)      v(n4)      v(n5)      v(vdd!)   
0.0 IN ->z
 0.         0.         0.         3.         8.3195n    3.         8.3195n    3.        
 3.35n     -6.f        6.704p     2.9957     0.0044849  2.9838     0.0030582  3.        
 3.36n     -5.f        37.f       2.9961     0.0021531  2.9915     0.0010785  3.        
 3.37n     -5.f        2.382p     2.9969     0.0028275  2.9961     952.68u    3.        
337.7 OUT->1 IN=0
 3.38n     -4.f        944.f      2.9975     712.97u    2.9976     63.64u     3.        
 3.39n     -4.f        3.         3.1858     0.033583   3.0049     0.0032456  3.        
 3.4n      -5.f        3.         1.863     -0.219      2.9468    -0.016924   3.        
 3.41n     -1.f        3.         0.84      -0.064346   3.0129     0.015267   3.        
 3.42n      9.f        3.         0.35345    0.44749    3.1142     0.021062   3.        
 3.43n      12.f       3.         0.20266    1.124      3.1432    -0.0046323  3.        
 3.44n      10.f       3.         0.14347    1.7156     2.9043    -0.062023   3.        
 3.45n      15.f       3.         0.096736   2.1221     2.386     -0.12916    3.        
 3.46n      12.f       3.         0.059209   2.3611     1.6864    -0.11208    3.        
 3.47n      9.f        3.         0.037882   2.5175     1.0083     0.20747    3.        
 3.48n      13.f       3.         0.034014   2.6781     0.63886    1.2964     3.        
348.0 IN ->1
 3.49n      13.f       3.         0.026134   2.7933     0.41583    2.3973     3.        
 3.5n       16.f       3.         0.014579   2.8524     0.1974     2.8605     3.        
 3.51n      16.f       3.         0.010745   2.9015     0.066201   2.9478     3.        
 3.52n      20.f       3.         0.0090727  2.9448     0.026418   2.9855     3.        
 3.53n      19.f       3.         0.006854   2.9703     0.010596   2.9942     3.        
 3.54n      19.f       3.         0.0049182  2.9845     0.0049048  2.9979     3.        
 3.55n      19.f       3.         0.0032696  2.9919     0.0022846  2.999      3.        
 3.56n      19.f       3.         0.0022503  2.9959     0.0019288  2.9998     3.        
 3.57n      20.f       3.         0.0013128  2.9977     922.47u    2.9986     3.        
358.0 OUT->0 IN=1
 3.58n      22.f       3.         0.0014651  2.9963     0.0013627  3.0004     3.        
 3.59n      22.f       19.124n   -0.40704    2.9141    -0.01498    2.9923     3.        
 3.6n       1.f       -17.735n    0.5343     3.1692     0.042958   3.0248     3.        
 3.61n     -4.f       -17.87n     1.3359     3.1487    -0.004148   2.987      3.        
 3.62n     -2.f       -18.048n    1.9187     2.7987    -0.060034   2.9795     3.        
 3.63n      1.f       -18.207n    2.2628     2.1663    -0.12071    2.9776     3.        
 3.64n      1.f        18.487n    2.4529     1.4159    -0.086254   3.0146     3.        
 3.65n      1.f       -18.297n    2.5819     0.75617    0.17333    3.104      3.        
 3.66n      0.         18.488n    2.7117     0.37349    0.69502    3.2132     3.        
 3.67n     -3.f       -18.317n    2.8274     0.21918    1.2838     3.0433     3.        
 3.68n     -5.f       -18.349n    2.8993     0.13802    1.7304     2.3696     3.        
368.7 IN ->0
 3.69n     -5.f       -18.363n    2.9388     0.075337   1.9629     1.1377     3.        
 3.7n      -4.f        18.407n    2.9686     0.062655   2.2211     0.23688    3.        
 3.71n     -5.f       -18.38n     2.9866     0.069408   2.548      0.050721   3.        
 3.72n     -4.f        18.385n    2.9898     0.050173   2.7672     0.046515   3.        
 3.73n     -6.f       -18.384n    2.9906     0.027479   2.8756     0.015018   3.        
 3.74n     -5.f        18.389n    2.9926     0.015639   2.9376     0.011883   3.        
 3.75n     -4.f       -18.382n    2.9936     0.0079157  2.9673     0.0040412  3.        
 3.76n     -5.f        18.387n    2.9957     0.0044849  2.9838     0.0030582  3.        
 3.77n     -3.f       -18.381n    2.9961     0.0021532  2.9915     0.0010785  3.        
 3.78n     -2.f        18.383n    2.9969     0.0028274  2.9961     952.67u    3.        
378.7 OUT->1 IN=0
 3.79n      0.        -18.38n     2.9975     712.98u    2.9976     63.645u    3.        
 3.8n       0.         3.         3.1858     0.033583   3.0049     0.0032456  3.        
 3.81n     -3.f        3.         1.863     -0.219      2.9468    -0.016924   3.        
 3.82n      4.f        3.         0.84      -0.064346   3.0129     0.015267   3.        
 3.83n      10.f       3.         0.35345    0.44749    3.1142     0.021062   3.        
 3.84n      9.f        3.         0.20266    1.124      3.1432    -0.0046323  3.        
 3.85n      10.f       3.         0.14347    1.7156     2.9043    -0.062023   3.        
 3.86n      13.f       3.         0.096736   2.1221     2.386     -0.12916    3.        
 3.87n      9.f        3.         0.059209   2.3611     1.6864    -0.11208    3.        
 3.88n      8.f        3.         0.037882   2.5175     1.0083     0.20747    3.        
 3.89n      8.f        3.         0.034014   2.6781     0.63886    1.2964     3.        
389.0 IN ->1
 3.9n       9.f        3.         0.026134   2.7933     0.41583    2.3973     3.        
 3.91n      9.f        3.         0.014579   2.8524     0.1974     2.8605     3.        
 3.92n      11.f       3.         0.010745   2.9015     0.066201   2.9478     3.        
 3.93n      13.f       3.         0.0090727  2.9448     0.026418   2.9855     3.        
 3.94n      16.f       3.         0.006854   2.9703     0.010596   2.9942     3.        
 3.95n      16.f       3.         0.0049182  2.9845     0.0049048  2.9979     3.        
 3.96n      17.f       3.         0.0032696  2.9919     0.0022846  2.999      3.        
 3.97n      15.f       3.         0.0022503  2.9959     0.0019287  2.9998     3.        
 3.98n      14.f       3.         0.0013128  2.9977     922.47u    2.9986     3.        
399.0 OUT->0 IN=1
 3.99n      13.f       3.         0.0014651  2.9963     0.0013627  3.0004     3.        
 4.n        14.f       743.78p   -0.40704    2.9141    -0.01498    2.9923     3.        
 4.01n      1.f        646.12p    0.5343     3.1692     0.042958   3.0248     3.        
 4.02n     -3.f        510.48p    1.3359     3.1487    -0.004148   2.987      3.        
 4.03n     -5.f        332.95p    1.9187     2.7987    -0.060034   2.9795     3.        
 4.04n     -3.f        174.16p    2.2628     2.1663    -0.12071    2.9776     3.        
 4.05n     -2.f        106.47p    2.4529     1.4159    -0.086254   3.0146     3.        
 4.06n     -2.f        83.992p    2.5819     0.75617    0.17333    3.104      3.        
 4.07n     -3.f        107.54p    2.7117     0.37349    0.69502    3.2132     3.        
 4.08n     -7.f        63.343p    2.8274     0.21918    1.2838     3.0433     3.        
 4.09n     -9.f        32.047p    2.8993     0.13802    1.7304     2.3696     3.        
409.7 IN ->0
 4.1n      -10.f       17.815p    2.9388     0.075337   1.9629     1.1377     3.        
 4.11n     -11.f       26.122p    2.9686     0.062655   2.2211     0.23688    3.        
 4.12n     -11.f       539.f      2.9866     0.069408   2.548      0.050721   3.        
 4.13n     -10.f       4.138p     2.9898     0.050173   2.7672     0.046515   3.        
 4.14n     -10.f      -3.012p     2.9906     0.027479   2.8756     0.015018   3.        
 4.15n     -6.f        8.314p     2.9926     0.015639   2.9376     0.011883   3.        
 4.16n     -7.f       -912.f      2.9936     0.0079157  2.9673     0.0040412  3.        
 4.17n     -7.f        6.706p     2.9957     0.0044849  2.9838     0.0030582  3.        
 4.18n     -5.f        32.f       2.9961     0.0021531  2.9915     0.0010785  3.        
 4.19n     -5.f        2.387p     2.9969     0.0028275  2.9961     952.68u    3.        
419.7 OUT->1 IN=0
 4.2n      -4.f        940.f      2.9975     712.97u    2.9976     63.64u     3.        
 4.21n     -4.f        3.         3.1858     0.033583   3.0049     0.0032456  3.        
 4.22n     -8.f        3.         1.863     -0.219      2.9468    -0.016924   3.        
 4.23n     -1.f        3.         0.84      -0.064346   3.0129     0.015267   3.        
 4.24n      7.f        3.         0.35345    0.44749    3.1142     0.021062   3.        
 4.25n      5.f        3.         0.20266    1.124      3.1432    -0.0046323  3.        
 4.26n      1.f        3.         0.14347    1.7156     2.9043    -0.062023   3.        
 4.27n      5.f        3.         0.096736   2.1221     2.386     -0.12916    3.        
 4.28n      5.f        3.         0.059209   2.3611     1.6864    -0.11208    3.        
 4.29n      6.f        3.         0.037882   2.5175     1.0083     0.20747    3.        
 4.3n       10.f       3.         0.034014   2.6781     0.63886    1.2964     3.        
430.0 IN ->1
 4.31n      8.f        3.         0.026134   2.7933     0.41583    2.3973     3.        
 4.32n      10.f       3.         0.014579   2.8524     0.1974     2.8605     3.        
 4.33n      11.f       3.         0.010745   2.9015     0.066201   2.9478     3.        
 4.34n      12.f       3.         0.0090727  2.9448     0.026418   2.9855     3.        
 4.35n      9.f        3.         0.006854   2.9703     0.010596   2.9942     3.        
 4.36n      9.f        3.         0.0049182  2.9845     0.0049048  2.9979     3.        
 4.37n      9.f        3.         0.0032696  2.9919     0.0022846  2.999      3.        
 4.38n      10.f       3.         0.0022503  2.9959     0.0019288  2.9998     3.        
 4.39n      11.f       3.         0.0013128  2.9977     922.47u    2.9986     3.        
440.0 OUT->0 IN=1
 4.4n       13.f       3.         0.0014651  2.9963     0.0013627  3.0004     3.        
 4.41n      15.f       19.124n   -0.40704    2.9141    -0.01498    2.9923     3.        
 4.42n      2.f       -17.735n    0.5343     3.1692     0.042958   3.0248     3.        
 4.43n     -3.f       -17.87n     1.3359     3.1487    -0.004148   2.987      3.        
 4.44n     -10.f      -18.048n    1.9187     2.7987    -0.060034   2.9795     3.        
 4.45n     -7.f       -18.207n    2.2628     2.1663    -0.12071    2.9776     3.        
 4.46n     -7.f        18.487n    2.4529     1.4159    -0.086254   3.0146     3.        
 4.47n     -6.f       -18.297n    2.5819     0.75617    0.17333    3.104      3.        
 4.48n     -7.f        18.488n    2.7117     0.37349    0.69502    3.2132     3.        
 4.49n     -9.f       -18.317n    2.8274     0.21918    1.2838     3.0433     3.        
 4.5n      -12.f      -18.349n    2.8993     0.13802    1.7304     2.3696     3.        
450.7 IN ->0
 4.51n     -13.f      -18.363n    2.9388     0.075337   1.9629     1.1377     3.        
 4.52n     -12.f       18.407n    2.9686     0.062655   2.2211     0.23688    3.        
 4.53n     -12.f      -18.38n     2.9866     0.069408   2.548      0.050721   3.        
 4.54n     -13.f       18.385n    2.9898     0.050173   2.7672     0.046515   3.        
 4.55n     -12.f      -18.384n    2.9906     0.027479   2.8756     0.015018   3.        
 4.56n     -12.f       18.389n    2.9926     0.015639   2.9376     0.011883   3.        
 4.57n     -12.f      -18.382n    2.9936     0.0079157  2.9673     0.0040412  3.        
 4.58n     -12.f       18.387n    2.9957     0.0044849  2.9838     0.0030582  3.        
 4.59n     -10.f      -18.381n    2.9961     0.0021532  2.9915     0.0010785  3.        
 4.6n      -10.f       18.383n    2.9969     0.0028274  2.9961     952.67u    3.        
460.7 OUT->1 IN=0
 4.61n     -8.f       -18.38n     2.9975     712.98u    2.9976     63.645u    3.        
 4.62n     -6.f        3.         3.1858     0.033583   3.0049     0.0032456  3.        
 4.63n     -11.f       3.         1.863     -0.219      2.9468    -0.016924   3.        
 4.64n     -4.f        3.         0.84      -0.064346   3.0129     0.015267   3.        
 4.65n      6.f        3.         0.35345    0.44749    3.1142     0.021062   3.        
 4.66n      6.f        3.         0.20266    1.124      3.1432    -0.0046323  3.        
 4.67n      1.f        3.         0.14347    1.7156     2.9043    -0.062023   3.        
 4.68n      1.f        3.         0.096736   2.1221     2.386     -0.12916    3.        
 4.69n      2.f        3.         0.059209   2.3611     1.6864    -0.11208    3.        
 4.7n       3.f        3.         0.037882   2.5175     1.0083     0.20747    3.        
 4.71n      8.f        3.         0.034014   2.6781     0.63886    1.2964     3.        
471.0 IN ->1
 4.72n      5.f        3.         0.026134   2.7933     0.41583    2.3973     3.        
 4.73n      5.f        3.         0.014579   2.8524     0.1974     2.8605     3.        
 4.74n      6.f        3.         0.010745   2.9015     0.066201   2.9478     3.        
 4.75n      5.f        3.         0.0090727  2.9448     0.026418   2.9855     3.        
 4.76n      2.f        3.         0.006854   2.9703     0.010596   2.9942     3.        
 4.77n      1.f        3.         0.0049182  2.9845     0.0049048  2.9979     3.        
 4.78n      1.f        3.         0.0032696  2.9919     0.0022846  2.999      3.        
 4.79n      1.f        3.         0.0022503  2.9959     0.0019287  2.9998     3.        
 4.8n       1.f        3.         0.0013128  2.9977     922.47u    2.9986     3.        
 4.81n      0.         3.         0.0014651  2.9963     0.0013627  3.0004     3.        
481.0 OUT->0 IN=1
 4.82n     -1.f        3.         196.06u    2.9995     153.04u    2.9983     3.        
 4.83n     -3.f        19.128n   -0.40591    2.9146    -0.014523   2.9951     3.        
 4.84n      0.        -17.738n    0.53523    3.1692     0.04241    3.0243     3.        
 4.85n      3.f       -17.874n    1.3367     3.1486    -0.0042579  2.987      3.        
 4.86n      3.f       -18.052n    1.9192     2.7982    -0.060114   2.9795     3.        
 4.87n      1.f       -18.21n     2.2631     2.1655    -0.12076    2.9777     3.        
 4.88n      3.f        18.491n    2.453      1.4151    -0.086143   3.0147     3.        
 4.89n      6.f       -18.3n      2.5821     0.75559    0.17376    3.1041     3.        
 4.9n       4.f        18.492n    2.7118     0.37325    0.6957     3.2133     3.        
 4.91n      7.f       -18.321n    2.8275     0.21907    1.2844     3.0429     3.        
 4.92n      6.f       -18.352n    2.8994     0.13794    1.7308     2.3685     3.        
492.7 IN ->0
 4.93n      9.f       -18.366n    2.9388     0.075287   1.9631     1.1363     3.        
 4.94n      8.f        18.41n     2.9686     0.062669   2.2215     0.23629    3.        
 4.95n      9.f       -18.384n    2.9867     0.069406   2.5484     0.050764   3.        
 4.96n      10.f       18.388n    2.9898     0.05014    2.7673     0.046447   3.        
 4.97n      12.f      -18.387n    2.9906     0.027463   2.8757     0.015023   3.        
 4.98n      14.f       18.393n    2.9926     0.015626   2.9376     0.011867   3.        
 4.99n      15.f      -18.385n    2.9936     0.0079113  2.9674     0.0040419  3.        
 5.n        15.f       18.391n    2.9957     0.0044808  2.9838     0.003054   3.        
 5.01n      17.f      -18.384n    2.9961     0.0021526  2.9915     0.001079   3.        
 5.02n      18.f       18.387n    2.9969     0.0028251  2.9961     951.12u    3.        
502.7 OUT->1 IN=0
 5.03n      15.f      -18.383n    2.9975     712.74u    2.9976     64.126u    3.        
 5.04n      17.f       3.         3.1858     0.033583   3.0049     0.0032439  3.        
 5.05n      15.f       3.         1.863     -0.21899    2.9468    -0.016924   3.        
 5.06n      19.f       3.         0.83999   -0.064344   3.0129     0.015267   3.        
 5.07n      22.f       3.         0.35345    0.4475     3.1142     0.021062   3.        
 5.08n      25.f       3.         0.20266    1.124      3.1432    -0.0046326  3.        
 5.09n      28.f       3.         0.14347    1.7156     2.9043    -0.062024   3.        
 5.1n       28.f       3.         0.096736   2.1221     2.386     -0.12917    3.        
 5.11n      21.f       3.         0.059209   2.3611     1.6864    -0.11208    3.        
 5.12n      24.f       3.         0.037882   2.5175     1.0083     0.20747    3.        
 5.13n      30.f       3.         0.034014   2.6781     0.63886    1.2965     3.        
512.9 IN ->1
 5.14n      30.f       3.         0.026134   2.7933     0.41583    2.3973     3.        
 5.15n      29.f       3.         0.014579   2.8524     0.19739    2.8605     3.        
 5.16n      32.f       3.         0.010745   2.9015     0.066201   2.9478     3.        
 5.17n      34.f       3.         0.0090727  2.9448     0.026418   2.9855     3.        
 5.18n      33.f       3.         0.006854   2.9703     0.010596   2.9942     3.        
 5.19n      31.f       3.         0.0049182  2.9845     0.0049048  2.9979     3.        
 5.2n       32.f       3.         0.0032696  2.9919     0.0022846  2.999      3.        
 5.21n      29.f       3.         0.0022503  2.9959     0.0019287  2.9998     3.        
 5.22n      29.f       3.         0.0013128  2.9977     922.47u    2.9986     3.        
522.9 OUT->0 IN=1
 5.23n      28.f       3.         0.001465   2.9963     0.0013626  3.0004     3.        
 5.24n      31.f       740.15p   -0.40704    2.9141    -0.01498    2.9923     3.        
 5.25n      2.f        649.77p    0.5343     3.1692     0.042958   3.0248     3.        
 5.26n     -3.f        514.13p    1.3359     3.1487    -0.004148   2.987      3.        
 5.27n     -4.f        336.6p     1.9187     2.7987    -0.060034   2.9795     3.        
 5.28n     -2.f        177.81p    2.2628     2.1663    -0.12071    2.9776     3.        
 5.29n     -3.f        102.82p    2.4529     1.4159    -0.086254   3.0146     3.        
 5.3n      -2.f        87.642p    2.5819     0.75617    0.17333    3.104      3.        
 5.31n     -4.f        103.89p    2.7117     0.37349    0.69502    3.2132     3.        
 5.32n     -7.f        66.992p    2.8274     0.21918    1.2838     3.0433     3.        
 5.33n     -7.f        35.699p    2.8993     0.13802    1.7304     2.3696     3.        
533.7 IN ->0
 5.34n     -8.f        21.466p    2.9388     0.075337   1.9629     1.1377     3.        
 5.35n     -9.f        22.474p    2.9686     0.062655   2.2211     0.23688    3.        
 5.36n     -8.f        4.192p     2.9866     0.069408   2.548      0.050721   3.        
 5.37n     -7.f        492.f      2.9898     0.050173   2.7672     0.046515   3.        
 5.38n     -6.f        641.f      2.9906     0.027479   2.8756     0.015018   3.        
 5.39n     -5.f        4.666p     2.9926     0.015639   2.9376     0.011883   3.        
 5.4n      -6.f        2.739p     2.9936     0.0079157  2.9673     0.0040412  3.        
 5.41n     -6.f        3.058p     2.9957     0.0044849  2.9838     0.0030582  3.        
 5.42n     -4.f        3.683p     2.9961     0.0021531  2.9915     0.0010785  3.        
 5.43n     -3.f       -1.261p     2.9969     0.0028275  2.9961     952.68u    3.        
543.7 OUT->1 IN=0
 5.44n     -3.f        4.591p     2.9975     712.97u    2.9976     63.64u     3.        
 5.45n     -2.f        3.         3.1858     0.033583   3.0049     0.0032456  3.        
 5.46n     -3.f        3.         1.863     -0.219      2.9468    -0.016924   3.        
 5.47n      3.f        3.         0.84      -0.064346   3.0129     0.015267   3.        
 5.48n      11.f       3.         0.35345    0.44749    3.1142     0.021062   3.        
 5.49n      11.f       3.         0.20266    1.124      3.1432    -0.0046323  3.        
 5.5n       8.f        3.         0.14347    1.7156     2.9043    -0.062023   3.        
 5.51n      11.f       3.         0.096736   2.1221     2.386     -0.12916    3.        
 5.52n      11.f       3.         0.059209   2.3611     1.6864    -0.11208    3.        
 5.53n      13.f       3.         0.037882   2.5175     1.0083     0.20747    3.        
 5.54n      14.f       3.         0.034014   2.6781     0.63886    1.2964     3.        
553.9 IN ->1
 5.55n      14.f       3.         0.026134   2.7933     0.41583    2.3973     3.        
 5.56n      15.f       3.         0.014579   2.8524     0.1974     2.8605     3.        
 5.57n      14.f       3.         0.010745   2.9015     0.066201   2.9478     3.        
 5.58n      14.f       3.         0.0090727  2.9448     0.026418   2.9855     3.        
 5.59n      12.f       3.         0.006854   2.9703     0.010596   2.9942     3.        
 5.6n       12.f       3.         0.0049182  2.9845     0.0049048  2.9979     3.        
 5.61n      13.f       3.         0.0032696  2.9919     0.0022846  2.999      3.        
 5.62n      10.f       3.         0.0022503  2.9959     0.0019288  2.9998     3.        
 5.63n      10.f       3.         0.0013128  2.9977     922.47u    2.9986     3.        
563.9 OUT->0 IN=1
 5.64n      11.f       3.         0.0014651  2.9963     0.0013627  3.0004     3.        
 5.65n      13.f       19.128n   -0.40704    2.9141    -0.01498    2.9923     3.        
 5.66n      2.f       -17.738n    0.5343     3.1692     0.042958   3.0248     3.        
 5.67n     -4.f       -17.874n    1.3359     3.1487    -0.004148   2.987      3.        
 5.68n     -7.f       -18.051n    1.9187     2.7987    -0.060034   2.9795     3.        
 5.69n     -2.f       -18.21n     2.2628     2.1663    -0.12071    2.9776     3.        
 5.7n      -2.f        18.491n    2.4529     1.4159    -0.086254   3.0146     3.        
 5.71n     -2.f       -18.3n      2.5819     0.75617    0.17333    3.104      3.        
 5.72n     -3.f        18.492n    2.7117     0.37349    0.69502    3.2132     3.        
 5.73n     -6.f       -18.321n    2.8274     0.21918    1.2838     3.0433     3.        
 5.74n     -8.f       -18.352n    2.8993     0.13802    1.7304     2.3696     3.        
574.7 IN ->0
 5.75n     -11.f      -18.367n    2.9388     0.075337   1.9629     1.1377     3.        
 5.76n     -11.f       18.41n     2.9686     0.062655   2.2211     0.23688    3.        
 5.77n     -10.f      -18.384n    2.9866     0.069408   2.548      0.050721   3.        
 5.78n     -11.f       18.388n    2.9898     0.050173   2.7672     0.046515   3.        
 5.79n     -9.f       -18.387n    2.9906     0.027479   2.8756     0.015018   3.        
 5.8n      -9.f        18.393n    2.9926     0.015639   2.9376     0.011883   3.        
 5.81n     -9.f       -18.385n    2.9936     0.0079157  2.9673     0.0040412  3.        
 5.82n     -10.f       18.391n    2.9957     0.0044849  2.9838     0.0030582  3.        
 5.83n     -11.f      -18.384n    2.9961     0.0021532  2.9915     0.0010785  3.        
 5.84n     -9.f        18.387n    2.9969     0.0028274  2.9961     952.68u    3.        
584.7 OUT->1 IN=0
 5.85n     -8.f       -18.383n    2.9975     712.98u    2.9976     63.645u    3.        
 5.86n     -11.f       3.         3.1858     0.033583   3.0049     0.0032456  3.        
 5.87n     -14.f       3.         1.863     -0.219      2.9468    -0.016924   3.        
 5.88n     -10.f       3.         0.84      -0.064346   3.0129     0.015267   3.        
 5.89n     -10.f       3.         0.35345    0.44749    3.1142     0.021062   3.        
 5.9n      -12.f       3.         0.20266    1.124      3.1432    -0.0046323  3.        
 5.91n     -13.f       3.         0.14347    1.7156     2.9043    -0.062023   3.        
 5.92n     -15.f       3.         0.096736   2.1221     2.386     -0.12916    3.        
 5.93n     -18.f       3.         0.059209   2.3611     1.6864    -0.11208    3.        
 5.94n     -17.f       3.         0.037882   2.5175     1.0083     0.20747    3.        
 5.95n     -13.f       3.         0.034014   2.6781     0.63886    1.2964     3.        
594.9 IN ->1
 5.96n     -13.f       3.         0.026134   2.7933     0.41583    2.3973     3.        
 5.97n     -13.f       3.         0.014579   2.8524     0.1974     2.8605     3.        
 5.98n     -13.f       3.         0.010745   2.9015     0.066201   2.9478     3.        
 5.99n     -15.f       3.         0.0090727  2.9448     0.026418   2.9855     3.        
 6.n       -15.f       3.         0.006854   2.9703     0.010596   2.9942     3.        
 6.01n     -15.f       3.         0.0049182  2.9845     0.0049048  2.9979     3.        
 6.02n     -13.f       3.         0.0032696  2.9919     0.0022846  2.999      3.        
 6.03n     -15.f       3.         0.0022503  2.9959     0.0019287  2.9998     3.        
 6.04n     -17.f       3.         0.0013128  2.9977     922.47u    2.9986     3.        
604.9 OUT->0 IN=1
 6.05n     -16.f       3.         0.0014651  2.9963     0.0013627  3.0004     3.        
 6.06n     -15.f       740.11p   -0.40704    2.9141    -0.01498    2.9923     3.        
 6.07n      1.f        649.77p    0.5343     3.1692     0.042958   3.0248     3.        
 6.08n     -1.f        514.13p    1.3359     3.1487    -0.004148   2.987      3.        
 6.09n     -2.f        336.6p     1.9187     2.7987    -0.060034   2.9795     3.        
 6.1n       2.f        177.81p    2.2628     2.1663    -0.12071    2.9776     3.        
 6.11n      3.f        102.83p    2.4529     1.4159    -0.086254   3.0146     3.        
 6.12n      4.f        87.645p    2.5819     0.75617    0.17333    3.104      3.        
 6.13n      2.f        103.9p     2.7117     0.37349    0.69502    3.2132     3.        
 6.14n      0.         66.995p    2.8274     0.21918    1.2838     3.0433     3.        
 6.15n     -1.f        35.701p    2.8993     0.13802    1.7304     2.3696     3.        
615.7 IN ->0
 6.16n     -1.f        21.469p    2.9388     0.075337   1.9629     1.1377     3.        
 6.17n      0.         22.488p    2.9686     0.062655   2.2211     0.23688    3.        
 6.18n      4.f        4.2p       2.9866     0.069408   2.548      0.050721   3.        
 6.19n      5.f        507.f      2.9898     0.050173   2.7672     0.046515   3.        
 6.2n       5.f        648.f      2.9906     0.027479   2.8756     0.015018   3.        
 6.21n      5.f        4.679p     2.9926     0.015639   2.9376     0.011883   3.        
 6.22n      6.f        2.746p     2.9936     0.0079157  2.9673     0.0040412  3.        
 6.23n      4.f        3.072p     2.9957     0.0044849  2.9838     0.0030582  3.        
 6.24n      7.f        3.691p     2.9961     0.0021531  2.9915     0.0010785  3.        
 6.25n      6.f       -1.248p     2.9969     0.0028275  2.9961     952.68u    3.        
625.7 OUT->1 IN=0
 6.26n      5.f        4.595p     2.9975     712.97u    2.9976     63.64u     3.        
 6.27n      5.f        3.         3.1858     0.033583   3.0049     0.0032456  3.        
 6.28n      1.f        3.         1.863     -0.219      2.9468    -0.016924   3.        
 6.29n      7.f        3.         0.84      -0.064346   3.0129     0.015267   3.        
 6.3n       18.f       3.         0.35345    0.44749    3.1142     0.021062   3.        
 6.31n      19.f       3.         0.20266    1.124      3.1432    -0.0046323  3.        
 6.32n      17.f       3.         0.14347    1.7156     2.9043    -0.062023   3.        
 6.33n      18.f       3.         0.096736   2.1221     2.386     -0.12916    3.        
 6.34n      16.f       3.         0.059209   2.3611     1.6864    -0.11208    3.        
 6.35n      14.f       3.         0.037882   2.5175     1.0083     0.20747    3.        
 6.36n      17.f       3.         0.034014   2.6781     0.63886    1.2964     3.        
635.9 IN ->1
 6.37n      15.f       3.         0.026134   2.7933     0.41583    2.3973     3.        
 6.38n      15.f       3.         0.014579   2.8524     0.1974     2.8605     3.        
 6.39n      17.f       3.         0.010745   2.9015     0.066201   2.9478     3.        
 6.4n       15.f       3.         0.0090727  2.9448     0.026418   2.9855     3.        
 6.41n      16.f       3.         0.006854   2.9703     0.010596   2.9942     3.        
 6.42n      14.f       3.         0.0049182  2.9845     0.0049048  2.9979     3.        
 6.43n      17.f       3.         0.0032696  2.9919     0.0022846  2.999      3.        
 6.44n      15.f       3.         0.0022503  2.9959     0.0019288  2.9998     3.        
 6.45n      17.f       3.         0.0013128  2.9977     922.47u    2.9986     3.        
645.9 OUT->0 IN=1
 6.46n      16.f       3.         0.0014651  2.9963     0.0013627  3.0004     3.        
 6.47n      17.f       19.128n   -0.40704    2.9141    -0.01498    2.9923     3.        
 6.48n      2.f       -17.738n    0.5343     3.1692     0.042958   3.0248     3.        
 6.49n     -3.f       -17.874n    1.3359     3.1487    -0.004148   2.987      3.        
 6.5n      -3.f       -18.051n    1.9187     2.7987    -0.060034   2.9795     3.        
 6.51n      0.        -18.21n     2.2628     2.1663    -0.12071    2.9776     3.        
 6.52n     -1.f        18.491n    2.4529     1.4159    -0.086254   3.0146     3.        
 6.53n     -1.f       -18.3n      2.5819     0.75617    0.17333    3.104      3.        
 6.54n     -3.f        18.492n    2.7117     0.37349    0.69502    3.2132     3.        
 6.55n     -4.f       -18.321n    2.8274     0.21918    1.2838     3.0433     3.        
 6.56n     -6.f       -18.352n    2.8993     0.13802    1.7304     2.3696     3.        
656.7 IN ->0
 6.57n     -8.f       -18.367n    2.9388     0.075337   1.9629     1.1377     3.        
 6.58n     -7.f        18.41n     2.9686     0.062655   2.2211     0.23688    3.        
 6.59n     -8.f       -18.384n    2.9866     0.069408   2.548      0.050721   3.        
 6.6n      -7.f        18.388n    2.9898     0.050173   2.7672     0.046515   3.        
 6.61n     -8.f       -18.387n    2.9906     0.027479   2.8756     0.015018   3.        
 6.62n     -6.f        18.393n    2.9926     0.015639   2.9376     0.011883   3.        
 6.63n     -6.f       -18.385n    2.9936     0.0079157  2.9673     0.0040412  3.        
 6.64n     -7.f        18.391n    2.9957     0.0044849  2.9838     0.0030582  3.        
 6.65n     -5.f       -18.384n    2.9961     0.0021532  2.9915     0.0010785  3.        
 6.66n     -5.f        18.387n    2.9969     0.0028274  2.9961     952.68u    3.        
666.7 OUT->1 IN=0
 6.67n     -5.f       -18.383n    2.9975     712.98u    2.9976     63.645u    3.        
 6.68n     -3.f        3.         3.1858     0.033583   3.0049     0.0032456  3.        
 6.69n     -7.f        3.         1.863     -0.219      2.9468    -0.016924   3.        
 6.7n       0.         3.         0.84      -0.064346   3.0129     0.015267   3.        
 6.71n      7.f        3.         0.35345    0.44749    3.1142     0.021062   3.        
 6.72n      10.f       3.         0.20266    1.124      3.1432    -0.0046323  3.        
